"","constituency","code","vaxed","pop","per_vax","lab_share"
"105","CHINGFORD AND WOODFORD GREEN","E14000634",58934,105671,0.557712144296922,0.46
"106","CHIPPENHAM","E14000635",71640,105337,0.680102907810171,0.11
"107","CHIPPING BARNET","E14000636",73721,128684,0.572883963818346,0.43
"108","CHORLEY","E14000637",72330,108498,0.666648233147155,NA
"109","CHRISTCHURCH","E14000638",67683,92401,0.732492072596617,0.13
"110","CITIES OF LONDON AND WESTMINSTER","E14000639",71233,148699,0.479041553742796,0.27
"111","CITY OF CHESTER","E14000640",64641,105768,0.611158384388473,0.5
"112","CITY OF DURHAM","E14000641",66308,111996,0.592056859173542,0.42
"113","CLACTON","E14000642",66396,95930,0.692129677890128,0.16
"114","CLEETHORPES","E14000643",66486,98204,0.677019266017677,0.23
"115","COLCHESTER","E14000644",77259,134380,0.574929304956095,0.33
"116","COLNE VALLEY","E14000645",78216,117938,0.663195916498499,0.4
"117","CONGLETON","E14000646",75985,106997,0.710160097946671,0.27
"118","COPELAND","E14000647",57765,79666,0.725089749705018,0.4
"119","CORBY","E14000648",78884,136555,0.577672000292922,0.38
"120","COVENTRY NORTH EAST","E14000649",71490,144508,0.494713095468763,0.53
"121","COVENTRY NORTH WEST","E14000650",66718,117534,0.56764851021832,0.44
"122","COVENTRY SOUTH","E14000651",68811,141924,0.484844001014628,0.43
"123","CRAWLEY","E14000652",71986,125624,0.573027446984653,0.37
"124","CREWE AND NANTWICH","E14000653",73080,120061,0.608690582287337,0.37
"125","CROYDON CENTRAL","E14000654",67782,139214,0.486890686281552,0.5
"126","CROYDON NORTH","E14000655",75784,176436,0.429526853930037,0.66
"127","CROYDON SOUTH","E14000656",75001,130784,0.573472290188402,0.31
"128","DAGENHAM AND RAINHAM","E14000657",60881,124917,0.487371614752195,0.45
"129","DARLINGTON","E14000658",59672,97303,0.613259611728313,0.41
"130","DARTFORD","E14000659",72668,126261,0.575537972929091,0.28
"131","DAVENTRY","E14000660",75300,112618,0.668632012644515,0.19
"132","DENTON AND REDDISH","E14000661",58541,93187,0.628209943447047,0.5
"133","DERBY NORTH","E14000662",69164,111885,0.618170442865442,0.4
"134","DERBY SOUTH","E14000663",67637,132782,0.509383802021358,0.51
"135","DERBYSHIRE DALES","E14000664",62168,84163,0.738661882299823,0.24
"136","DEVIZES","E14000665",73384,114840,0.639010797631487,0.15
"137","DEWSBURY","E14000666",73175,120269,0.608427774405707,0.44
"138","DON VALLEY","E14000667",72125,106813,0.675245522548753,0.35
"139","DONCASTER CENTRAL","E14000668",69199,118478,0.58406624014585,0.4
"140","DONCASTER NORTH","E14000669",66350,104427,0.635372078102406,0.39
"141","DOVER","E14000670",70053,105646,0.663091834996119,0.33
"142","DUDLEY NORTH","E14000671",54632,90800,0.601674008810573,0.32
"143","DUDLEY SOUTH","E14000672",54256,84029,0.645681847933452,0.25
"144","DULWICH AND WEST NORWOOD","E14000673",68245,135692,0.502940482858238,0.66
"145","EALING CENTRAL AND ACTON","E14000674",79136,164379,0.481424026183393,0.51
"146","EALING NORTH","E14000675",71297,149609,0.476555554812879,0.57
"147","EALING, SOUTHALL","E14000676",68136,138409,0.492280126292365,0.61
"148","EASINGTON","E14000677",56156,85842,0.654178607208593,0.46
"149","EAST DEVON","E14000678",80567,114883,0.701296101250838,0.05
"150","EAST HAM","E14000679",86505,209801,0.412319293044361,0.76
"151","EAST HAMPSHIRE","E14000680",73871,107035,0.690157425141309,0.11
"152","EAST SURREY","E14000681",80147,122651,0.653455740271176,0.14
"153","EAST WORTHING AND SHOREHAM","E14000682",69803,104092,0.670589478538216,0.37
"154","EAST YORKSHIRE","E14000683",76949,108136,0.711594658578087,0.21
"155","EASTBOURNE","E14000684",76600,117159,0.653812340494542,0.07
"156","EASTLEIGH","E14000685",76558,118020,0.648686663277411,0.13
"157","EDDISBURY","E14000686",68602,101818,0.673770846019368,0.22
"158","EDMONTON","E14000687",60843,136896,0.444446879382889,0.65
"159","ELLESMERE PORT AND NESTON","E14000688",61398,96005,0.639529191187959,0.53
"160","ELMET AND ROTHWELL","E14000689",76011,109564,0.693758898908401,0.28
"161","ELTHAM","E14000690",57830,105497,0.548167246461985,0.47
"162","ENFIELD NORTH","E14000691",62073,119362,0.52003987868836,0.52
"163","ENFIELD, SOUTHGATE","E14000692",64280,116810,0.550295351425392,0.49
"164","EPPING FOREST","E14000693",64139,108801,0.589507449380061,0.2
"165","EPSOM AND EWELL","E14000694",76777,120871,0.635197855565024,0.17
"166","EREWASH","E14000695",66447,98849,0.672207103764327,0.35
"167","ERITH AND THAMESMEAD","E14000696",63423,131510,0.482267508174283,0.48
"168","ESHER AND WALTON","E14000697",80546,131327,0.613323992781378,0.05
"169","EXETER","E14000698",74116,125438,0.590857634847494,0.53
"170","FAREHAM","E14000699",72559,103159,0.703370525111721,0.18
"171","FAVERSHAM AND MID KENT","E14000700",69174,109267,0.633073114481042,0.2
"172","FELTHAM AND HESTON","E14000701",85540,174961,0.488908956853242,0.52
"173","FILTON AND BRADLEY STOKE","E14000702",71312,115856,0.61552271785665,0.38
"174","FINCHLEY AND GOLDERS GREEN","E14000703",77508,150613,0.514616932137332,0.24
"175","FOLKESTONE AND HYTHE","E14000704",82689,121807,0.678852611097884,0.24
"176","FOREST OF DEAN","E14000705",60511,94778,0.638449851231298,0.29
"177","FYLDE","E14000706",65540,92815,0.706135861660292,0.25
"178","GAINSBOROUGH","E14000707",70779,100984,0.700893210805672,0.21
"179","GARSTON AND HALEWOOD","E14000708",63921,109988,0.581163399643598,0.72
"180","GATESHEAD","E14000709",59554,100498,0.592588907241935,0.54
"181","GEDLING","E14000710",65327,99300,0.657875125881168,0.44
"182","GILLINGHAM AND RAINHAM","E14000711",63677,107669,0.591414427551106,0.28
"183","GLOUCESTER","E14000712",79166,127353,0.621626502712932,0.35
"184","GOSPORT","E14000713",67433,101993,0.661153216397204,0.19
"185","GRANTHAM AND STAMFORD","E14000714",80477,118037,0.68179469149504,0.19
"186","GRAVESHAM","E14000715",65702,115854,0.567110328516926,0.29
"187","GREAT GRIMSBY","E14000716",53537,91859,0.582817143665836,0.33
"188","GREAT YARMOUTH","E14000717",70278,109207,0.643530176637029,0.25
"189","GREENWICH AND WOOLWICH","E14000718",75675,152834,0.495145059345434,0.57
"190","GUILDFORD","E14000719",73646,121247,0.607404719292024,0.08
"191","HACKNEY NORTH AND STOKE NEWINGTON","E14000720",72503,168194,0.431067695637181,0.7
